Name,Discount,Price,Rating,Release,Ends,Started
Carto,-70%,"R$ 11,39",93.54%,Oct 2020,20 May 2024,13 May 2024
Unpacking,-50%,"R$ 29,99",90.91%,Nov 2021,20 May 2024,13 May 2024
One Step From Eden,-60%,"R$ 15,19",90.59%,Mar 2020,20 May 2024,13 May 2024
OTXO,-50%,"R$ 14,49",89.75%,Apr 2023,20 May 2024,13 May 2024
Poly Bridge,-90%,"R$ 2,06",89.25%,Jul 2016,20 May 2024,13 May 2024
Return to Monkey Island,-50%,"R$ 36,99",89.23%,Sep 2022,23 May 2024,9 May 2024
Wizard of Legend,-70%,"R$ 9,29",88.93%,May 2018,20 May 2024,13 May 2024
Minecraft Dungeons,-50%,"R$ 37,47",88.82%,Sep 2021,29 May 2024,15 May 2024
Forager,-65%,"R$ 13,29",88.52%,Apr 2019,20 May 2024,13 May 2024
Re: LieF ~ Shin'ainaru Anata e~,-58%,"R$ 27,71",88.43%,Feb 2021,26 May 2024,18 May 2024
Ring of Pain,-70%,"R$ 11,39",88.35%,Oct 2020,20 May 2024,13 May 2024
Assassin's Creed® Odyssey,-85%,"R$ 26,99",88.16%,Oct 2018,26 May 2024,15 May 2024
Anarcute,-80%,"R$ 7,19",86.56%,Jul 2016,27 May 2024,13 May 2024
Old School Musical,-75%,"R$ 7,99",86.19%,Sep 2018,27 May 2024,13 May 2024
Ikenfell,-70%,"R$ 11,39",86.14%,Oct 2020,20 May 2024,13 May 2024
The House of Da Vinci 3,-50%,"R$ 29,99",86.03%,Dec 2022,,18 May 2024
Hell Pie,-66%,"R$ 25,15",85.93%,Jul 2022,21 May 2024,15 May 2024
Another Lost Phone: Laura's Story,-72%,"R$ 2,23",85.83%,Sep 2017,27 May 2024,13 May 2024
Drug Dealer Simulator,-87%,"R$ 4,93",85.65%,Apr 2020,20 May 2024,13 May 2024
A Normal Lost Phone,-72%,"R$ 2,23",85.31%,Jan 2017,27 May 2024,13 May 2024
The Crackpet Show,-75%,"R$ 11,75",84.00%,Dec 2022,20 May 2024,13 May 2024
Dungeon Village,-63%,"R$ 6,87",82.83%,Mar 2022,25 May 2024,11 May 2024
Vampires' Melody 2,-50%,"R$ 6,89",82.45%,Sep 2023,24 May 2024,10 May 2024
Cyberpunk 2077,-50%,"R$ 99,95",81.50%,Dec 2020,26 May 2024,16 May 2024
A Hat in Time,-50%,"R$ 44,49",96.07%,Oct 2017,20 May 2024,13 May 2024
Inscryption,-50%,"R$ 24,99",95.56%,Oct 2021,23 May 2024,9 May 2024
American Truck Simulator,-75%,"R$ 15,49",95.51%,Feb 2016,30 May 2024,16 May 2024
One Finger Death Punch,-78%,"R$ 1,86",95.38%,Mar 2014,20 May 2024,13 May 2024
Don't Starve,-75%,"R$ 5,17",95.30%,Apr 2013,20 May 2024,13 May 2024
Risk of Rain 2,-50%,"R$ 29,99",95.23%,Aug 2020,20 May 2024,13 May 2024
Sid Meier's Civilization® V,-75%,"R$ 11,24",94.98%,Sep 2010,27 May 2024,13 May 2024
LIZARDS MUST DIE,-50%,"R$ 3,49",94.87%,Sep 2023,19 May 2024,5 May 2024
Vampires' Melody,-80%,"R$ 2,75",94.11%,Oct 2020,24 May 2024,10 May 2024
Ultimate Chicken Horse,-65%,"R$ 15,74",93.94%,Mar 2016,20 May 2024,13 May 2024
Valheim,-50%,"R$ 18,99",93.82%,Feb 2021,28 May 2024,14 May 2024
My Friend Pedro,-75%,"R$ 14,99",93.64%,Jun 2019,23 May 2024,16 May 2024
月影魅像-解放之羽-,-65%,"R$ 23,09",93.52%,Jul 2019,26 May 2024,18 May 2024
Monster Prom 2: Monster Camp,-66%,"R$ 8,46",93.40%,Oct 2020,23 May 2024,9 May 2024
One Finger Death Punch 2,-75%,"R$ 4,14",92.69%,Apr 2019,20 May 2024,13 May 2024
Marvel's Guardians of the Galaxy,-75%,"R$ 62,49",92.53%,Oct 2021,20 May 2024,10 May 2024
ISLANDERS,-65%,"R$ 5,94",92.38%,Apr 2019,26 May 2024,12 May 2024
Cities: Skylines,-70%,"R$ 32,39",92.25%,Mar 2015,23 May 2024,9 May 2024
Epistory - Typing Chronicles,-70%,"R$ 12,89",91.67%,Mar 2016,27 May 2024,13 May 2024
Risk of Rain (2013),-80%,"R$ 3,99",91.51%,Nov 2013,20 May 2024,13 May 2024
Death's Door,-75%,"R$ 14,99",91.17%,Jul 2021,23 May 2024,16 May 2024
Torchlight II,-80%,"R$ 6,99",91.16%,Sep 2012,27 May 2024,13 May 2024
Project Wingman,-50%,"R$ 23,74",91.15%,Dec 2020,20 May 2024,13 May 2024
Thomas Was Alone,-80%,"R$ 3,39",91.00%,Nov 2012,20 May 2024,13 May 2024
The Messenger,-80%,"R$ 11,99",90.97%,Aug 2018,23 May 2024,16 May 2024
Dead Estate,-50%,"R$ 8,99",90.97%,Oct 2021,20 May 2024,13 May 2024
McPixel 3,-80%,"R$ 6,59",90.96%,Nov 2022,23 May 2024,16 May 2024
Spelunky 2,-50%,"R$ 18,99",90.81%,Sep 2020,20 May 2024,13 May 2024
Death Road to Canada,-75%,"R$ 6,99",90.31%,Jul 2016,20 May 2024,13 May 2024
Crusader Kings III,-60%,"R$ 71,99",90.22%,Sep 2020,23 May 2024,9 May 2024
Victoria II,-75%,"R$ 17,99",90.19%,Aug 2010,23 May 2024,9 May 2024
Hearts of Iron IV,-70%,"R$ 53,99",90.14%,Jun 2016,23 May 2024,9 May 2024
Evil Genius,-90%,"R$ 1,99",89.90%,Sep 2004,20 May 2024,7 May 2024
ΔV: Rings of Saturn,-50%,"R$ 10,34",89.40%,Jul 2023,20 May 2024,13 May 2024
Choice of Life: Middle Ages 2,-50%,"R$ 11,75",89.37%,Sep 2022,20 May 2024,6 May 2024
Sid Meier's Civilization® IV,-85%,"R$ 4,49",89.14%,Oct 2005,27 May 2024,13 May 2024
A Plague Tale: Requiem,-60%,"R$ 71,96",89.14%,Oct 2022,19 May 2024,9 May 2024
"Invisible, Inc.",-75%,"R$ 9,24",88.55%,May 2015,20 May 2024,13 May 2024
Slipways,-50%,"R$ 16,49",88.46%,Jun 2021,20 May 2024,13 May 2024
Knights of Honor,-75%,"R$ 8,99",88.39%,May 2005,23 May 2024,9 May 2024
Torchlight,-80%,"R$ 4,99",88.27%,Oct 2009,27 May 2024,13 May 2024
Lacuna – A Sci-Fi Noir Adventure,-80%,"R$ 6,19",88.19%,May 2021,21 May 2024,8 May 2024
Prison Architect,-80%,"R$ 21,59",88.19%,Oct 2015,23 May 2024,9 May 2024
Monaco: What's Yours Is Mine,-75%,"R$ 6,99",87.95%,Apr 2013,20 May 2024,13 May 2024
Curious Expedition,-80%,"R$ 5,59",87.78%,Sep 2016,20 May 2024,13 May 2024
Jupiter Hell,-60%,"R$ 18,99",87.62%,Aug 2021,20 May 2024,13 May 2024
Marble It Up! Ultra,-60%,"R$ 35,59",87.56%,Nov 2018,31 May 2024,17 May 2024
Card Shark,-50%,"R$ 29,99",87.56%,Jun 2022,23 May 2024,9 May 2024
Element TD 2 - Tower Defense,-50%,"R$ 20,00",87.53%,Apr 2021,19 May 2024,12 May 2024
The Witcher: Enhanced Edition Director's Cut,-85%,"R$ 2,54",87.52%,Sep 2008,26 May 2024,16 May 2024
Splasher,-77%,"R$ 8,27",87.52%,Feb 2017,27 May 2024,13 May 2024
Rollerdrome,-67%,"R$ 52,76",87.39%,Aug 2022,20 May 2024,6 May 2024
Life is Strange: True Colors,-70%,"R$ 89,97",87.31%,Sep 2021,21 May 2024,8 May 2024
Blue Estate The Game,-65%,"R$ 9,09",87.27%,Apr 2015,27 May 2024,13 May 2024
Shadowrun: Dragonfall - Director's Cut,-75%,"R$ 13,49",86.83%,Sep 2014,23 May 2024,9 May 2024
Majesty Gold HD,-75%,"R$ 8,99",86.83%,Mar 2001,23 May 2024,9 May 2024
DJMAX RESPECT V,-80%,"R$ 19,79",86.81%,Mar 2020,20 May 2024,13 May 2024
Thronebreaker: The Witcher Tales,-75%,"R$ 13,99",86.65%,Nov 2018,26 May 2024,16 May 2024
Battlezone 98 Redux,-85%,"R$ 6,89",86.38%,Apr 2016,20 May 2024,7 May 2024
Shadowrun Returns,-75%,"R$ 13,49",86.29%,Jul 2013,23 May 2024,9 May 2024
Duskers,-50%,"R$ 18,49",86.27%,May 2016,20 May 2024,13 May 2024
The Medium,-60%,"R$ 63,96",86.20%,—,19 May 2024,7 May 2024
Europa Universalis IV,-70%,"R$ 43,19",86.05%,Aug 2013,23 May 2024,9 May 2024
House of the Dying Sun,-70%,"R$ 11,09",85.88%,Nov 2016,20 May 2024,13 May 2024
Curious Expedition 2,-65%,"R$ 13,29",85.88%,Jan 2021,20 May 2024,13 May 2024
TrymenT ―献给渴望改变的你― AlphA篇,-67%,"R$ 29,03",85.87%,Feb 2020,26 May 2024,18 May 2024
Darkest Hour: A Hearts of Iron Game,-80%,"R$ 7,19",85.68%,Apr 2011,23 May 2024,9 May 2024
Hob,-80%,"R$ 7,39",85.65%,Sep 2017,27 May 2024,13 May 2024
Expeditions: Rome,-60%,"R$ 33,99",85.59%,Jan 2022,20 May 2024,13 May 2024
Astronarch,-70%,"R$ 8,69",85.58%,Jan 2021,20 May 2024,13 May 2024
Magicka,-75%,"R$ 8,99",85.52%,Jan 2011,23 May 2024,9 May 2024
Lost Castle / 失落城堡,-60%,"R$ 7,99",85.43%,Sep 2016,20 May 2024,13 May 2024
Assassin's Creed® Origins,-85%,"R$ 26,99",85.30%,Oct 2017,26 May 2024,15 May 2024
Fury Unleashed,-85%,"R$ 8,99",85.14%,May 2020,20 May 2024,13 May 2024
JoJo's Bizarre Adventure: All-Star Battle R,-70%,"R$ 60,75",85.07%,Sep 2022,20 May 2024,13 May 2024
Tyranny,-75%,"R$ 26,99",84.71%,Nov 2016,23 May 2024,9 May 2024
Tick Tock: A Tale for Two,-60%,"R$ 7,60",84.27%,Mar 2019,24 May 2024,17 May 2024
ScourgeBringer,-75%,"R$ 9,99",84.22%,Oct 2020,27 May 2024,13 May 2024
Knights of Pen and Paper 2,-75%,"R$ 7,24",83.80%,Oct 2015,23 May 2024,9 May 2024
Shadowrun: Hong Kong - Extended Edition,-75%,"R$ 17,99",83.78%,Aug 2015,23 May 2024,9 May 2024
Age of Wonders Shadow Magic,-75%,"R$ 8,99",83.23%,—,23 May 2024,9 May 2024
Void Bastards,-70%,"R$ 17,39",83.23%,May 2019,20 May 2024,13 May 2024
Surviving Mars,-75%,"R$ 26,99",83.15%,Mar 2018,23 May 2024,9 May 2024
Crying Suns,-70%,"R$ 14,24",83.14%,Sep 2019,20 May 2024,13 May 2024
Sword of the Stars: Complete Collection,-75%,"R$ 8,99",82.84%,Oct 2008,23 May 2024,9 May 2024
Warlock - Master of the Arcane,-75%,"R$ 22,49",82.81%,May 2012,23 May 2024,9 May 2024
Academia : School Simulator,-50%,"R$ 35,99",82.23%,Sep 2017,23 May 2024,9 May 2024
BATTLETECH,-75%,"R$ 35,99",81.94%,Apr 2018,23 May 2024,9 May 2024
Ice Lakes,-75%,"R$ 13,49",81.80%,Apr 2016,23 May 2024,9 May 2024
Teleglitch: Die More Edition,-75%,"R$ 11,74",81.79%,Jul 2013,23 May 2024,9 May 2024
Watch_Dogs® 2,-85%,"R$ 22,49",81.65%,Nov 2016,20 May 2024,13 May 2024
Hearts of Iron 2 Complete,-75%,"R$ 13,49",81.41%,Jan 2006,23 May 2024,9 May 2024
Fae Tactics,-70%,"R$ 11,39",81.34%,Jul 2020,20 May 2024,13 May 2024
King Arthur: Knight's Tale,-60%,"R$ 48,79",81.33%,Apr 2022,23 May 2024,9 May 2024
Temtem,-60%,"R$ 53,99",80.77%,Sep 2022,20 May 2024,13 May 2024
Mechanic Escape,-80%,"R$ 2,49",80.73%,Apr 2014,27 May 2024,13 May 2024
Magicka 2,-75%,"R$ 13,49",80.65%,May 2015,23 May 2024,9 May 2024
Across the Obelisk,-50%,"R$ 35,99",80.61%,Apr 2021,23 May 2024,9 May 2024
Zombie Party,-80%,"R$ 4,13",80.37%,Jun 2016,27 May 2024,13 May 2024
Europa Universalis III Complete,-70%,"R$ 16,19",80.23%,Jan 2007,23 May 2024,9 May 2024
Knights of Pen and Paper +1 Edition,-75%,"R$ 8,99",79.98%,Jun 2013,23 May 2024,9 May 2024
Revita,-50%,"R$ 19,99",79.66%,—,27 May 2024,13 May 2024
Flynn: Son of Crimson,-60%,"R$ 23,99",79.64%,Sep 2021,20 May 2024,13 May 2024
Wildfire,-60%,"R$ 11,59",78.70%,May 2020,20 May 2024,13 May 2024
Age of Wonders III,-75%,"R$ 26,99",78.63%,Mar 2014,23 May 2024,9 May 2024
Age of Wonders: Planetfall,-66%,"R$ 36,71",78.05%,Aug 2019,23 May 2024,9 May 2024
Finding Teddy,-80%,"R$ 2,79",77.73%,Dec 2013,27 May 2024,13 May 2024
Staxel,-75%,"R$ 9,24",77.24%,Apr 2019,20 May 2024,13 May 2024
Hotel Renovator,-50%,"R$ 44,95",76.23%,Mar 2023,24 May 2024,17 May 2024
Hellslave,-75%,"R$ 11,49",75.97%,May 2022,27 May 2024,13 May 2024
Aegis Defenders,-75%,"R$ 9,24",75.59%,Feb 2018,20 May 2024,13 May 2024
Watch_Dogs™,-85%,"R$ 14,24",75.44%,May 2014,20 May 2024,13 May 2024
Hearts of Iron III,-75%,"R$ 8,99",75.10%,Aug 2009,23 May 2024,9 May 2024
Nanotale - Typing Chronicles,-60%,"R$ 18,39",74.95%,Mar 2021,27 May 2024,13 May 2024
Age of Wonders,-75%,"R$ 5,49",74.90%,—,23 May 2024,9 May 2024
Cities in Motion,-50%,"R$ 35,99",73.51%,Feb 2011,23 May 2024,9 May 2024
Vampire: The Masquerade - Shadows of New York,-80%,"R$ 5,37",73.30%,Sep 2020,27 May 2024,13 May 2024
Indies' Lies,-50%,"R$ 23,49",72.95%,Jan 2023,19 May 2024,5 May 2024
Popup Dungeon,-60%,"R$ 18,99",72.88%,Aug 2020,20 May 2024,13 May 2024
Steel Division: Normandy 44,-66%,"R$ 24,47",72.77%,May 2017,23 May 2024,9 May 2024
NeuroVoider,-75%,"R$ 8,49",72.57%,Aug 2016,27 May 2024,13 May 2024
Internet Cafe Simulator 2,-60%,"R$ 23,99",72.25%,Jan 2022,26 May 2024,12 May 2024
DRIFT CE,-50%,"R$ 49,50",71.15%,Jun 2021,20 May 2024,13 May 2024
Vampire: The Masquerade - Coteries of New York,-90%,"R$ 3,79",70.77%,Dec 2019,27 May 2024,13 May 2024
Surviving the Aftermath,-70%,"R$ 32,39",69.36%,Nov 2021,23 May 2024,9 May 2024
Wurm Unlimited,-75%,"R$ 27,49",69.35%,Oct 2015,27 May 2024,13 May 2024
Belladonna,-75%,"R$ 3,62",69.16%,Feb 2015,27 May 2024,13 May 2024
Majesty 2,-75%,"R$ 8,99",67.49%,Sep 2009,23 May 2024,9 May 2024
Warlock 2: The Exiled,-75%,"R$ 17,99",67.18%,Apr 2014,23 May 2024,9 May 2024
King Arthur - The Role-playing Wargame,-75%,"R$ 8,99",66.84%,Nov 2009,23 May 2024,9 May 2024
Souldiers,-65%,"R$ 16,09",65.53%,Jun 2022,27 May 2024,13 May 2024
WRC 5 FIA World Rally Championship,-90%,"R$ 2,06",65.39%,Oct 2015,27 May 2024,13 May 2024
Victoria 3,-76%,"R$ 43,19",65.09%,Oct 2022,23 May 2024,9 May 2024
NECROPOLIS: BRUTAL EDITION,-75%,"R$ 26,99",63.76%,—,23 May 2024,9 May 2024
A Game of Dwarves,-75%,"R$ 8,99",61.63%,Oct 2012,23 May 2024,9 May 2024
Euro Truck Simulator 2,-75%,"R$ 15,49",96.62%,Oct 2012,30 May 2024,16 May 2024
Slay the Spire,-66%,"R$ 25,49",96.55%,Jan 2019,29 May 2024,15 May 2024
Bloons TD 6,-65%,"R$ 9,76",96.31%,Dec 2018,24 May 2024,17 May 2024
Dead Cells,-50%,"R$ 23,74",95.88%,Aug 2018,20 May 2024,13 May 2024
Hotline Miami,-80%,"R$ 6,59",95.77%,Oct 2012,23 May 2024,16 May 2024
The Wolf Among Us,-50%,"R$ 25,00",95.71%,Oct 2013,20 May 2024,13 May 2024
The Witcher® 3: Wild Hunt,-75%,"R$ 32,49",95.33%,May 2015,26 May 2024,16 May 2024
Oxygen Not Included,-66%,"R$ 15,63",95.32%,Jul 2019,20 May 2024,13 May 2024
Broforce,-80%,"R$ 9,39",95.27%,Oct 2015,23 May 2024,16 May 2024
Keep Talking and Nobody Explodes,-60%,"R$ 18,79",95.10%,Oct 2015,21 May 2024,9 May 2024
Stronghold Crusader HD,-70%,"R$ 5,09",95.07%,Jul 2002,23 May 2024,16 May 2024
Tales of the Black Forest,-70%,"R$ 4,13",95.06%,Sep 2019,24 May 2024,10 May 2024
Tomb Raider,-80%,"R$ 12,49",95.02%,Mar 2013,20 May 2024,10 May 2024
GRIS,-80%,"R$ 9,39",94.94%,Dec 2018,23 May 2024,9 May 2024
Milk inside a bag of milk inside a bag of milk,-50%,"R$ 1,74",94.75%,Aug 2020,20 May 2024,13 May 2024
Mirror,-60%,"R$ 2,79",94.56%,Apr 2018,24 May 2024,10 May 2024
Enter the Gungeon,-70%,"R$ 14,09",94.24%,Apr 2016,23 May 2024,13 May 2024
Supreme Commander: Forged Alliance,-80%,"R$ 6,79",94.11%,Sep 2011,21 May 2024,8 May 2024
FTL: Faster Than Light,-75%,"R$ 5,99",94.03%,Sep 2012,20 May 2024,13 May 2024
Fox Hime Zero,-70%,"R$ 2,09",93.84%,May 2018,24 May 2024,10 May 2024
Streets of Rogue,-75%,"R$ 14,99",93.81%,Jul 2019,27 May 2024,13 May 2024
Crypt of the NecroDancer,-80%,"R$ 9,39",93.72%,Apr 2015,20 May 2024,13 May 2024
FlatOut 2™,-80%,"R$ 13,99",93.70%,Aug 2006,23 May 2024,9 May 2024
shapez,-78%,"R$ 10,83",93.67%,Jun 2020,27 May 2024,13 May 2024
Downwell,-67%,"R$ 3,46",93.66%,Oct 2015,23 May 2024,13 May 2024
Metal: Hellsinger,-60%,"R$ 31,63",93.63%,Sep 2022,20 May 2024,13 May 2024
Paint the Town Red,-50%,"R$ 29,99",93.63%,Jul 2021,20 May 2024,13 May 2024
Superflight,-50%,"R$ 5,24",93.59%,Nov 2017,20 May 2024,13 May 2024
The Talos Principle,-85%,"R$ 13,34",93.47%,Dec 2014,30 May 2024,16 May 2024
TY the Tasmanian Tiger,-50%,"R$ 13,99",93.47%,Dec 2016,20 May 2024,13 May 2024
Bit Blaster XL,-50%,"R$ 1,74",93.15%,Jan 2016,20 May 2024,13 May 2024
Orcs Must Die!,-75%,"R$ 5,17",93.14%,Oct 2011,27 May 2024,15 May 2024
Retrowave,-50%,"R$ 5,24",93.10%,May 2022,29 May 2024,15 May 2024
ROUNDS,-50%,"R$ 8,99",93.04%,Apr 2021,29 May 2024,15 May 2024
AudioSurf,-75%,"R$ 8,24",93.01%,Feb 2008,20 May 2024,13 May 2024
Fluffy Store,-70%,"R$ 2,09",92.84%,Aug 2019,24 May 2024,10 May 2024
Star of Providence,-50%,"R$ 23,49",92.72%,Jun 2017,20 May 2024,13 May 2024
Rise of the Tomb Raider™,-80%,"R$ 24,99",92.70%,Feb 2016,20 May 2024,10 May 2024
LYNE,-60%,"R$ 4,19",92.69%,Mar 2014,20 May 2024,13 May 2024
Stronghold HD (2012),-70%,"R$ 3,59",92.59%,Oct 2001,20 May 2024,13 May 2024
Pikuniku,-80%,"R$ 8,39",92.58%,Jan 2019,23 May 2024,16 May 2024
Stick Fight: The Game,-60%,"R$ 6,00",92.38%,Sep 2017,29 May 2024,15 May 2024
DR LIVESEY ROM AND DEATH EDITION,-50%,"R$ 1,74",92.37%,Feb 2023,29 May 2024,15 May 2024
Hotline Miami 2: Wrong Number,-85%,"R$ 7,04",92.32%,Mar 2015,23 May 2024,16 May 2024
CARRION,-70%,"R$ 17,99",92.30%,Jul 2020,23 May 2024,16 May 2024
Mount Your Friends,-65%,"R$ 5,94",92.27%,Jul 2014,20 May 2024,13 May 2024
Tales of Maj'Eyal,-50%,"R$ 6,99",92.20%,Dec 2012,20 May 2024,13 May 2024
A Plague Tale: Innocence,-80%,"R$ 27,98",91.88%,May 2019,19 May 2024,9 May 2024
Long Live The Queen,-65%,"R$ 9,09",91.88%,Nov 2013,20 May 2024,13 May 2024
Descenders,-70%,"R$ 14,24",91.87%,May 2019,20 May 2024,13 May 2024
Max Payne 2: The Fall of Max Payne,-65%,"R$ 5,24",91.79%,Oct 2003,27 May 2024,13 May 2024
Sleeping Dogs: Definitive Edition,-85%,"R$ 8,39",91.67%,Oct 2014,21 May 2024,8 May 2024
Chronicon,-60%,"R$ 17,79",91.66%,Aug 2020,20 May 2024,13 May 2024
Skul: The Hero Slayer,-50%,"R$ 29,99",91.63%,Jan 2021,30 May 2024,16 May 2024
The Red Strings Club,-75%,"R$ 11,74",91.56%,Jan 2018,23 May 2024,9 May 2024
Heat Signature,-60%,"R$ 11,19",91.56%,Sep 2017,20 May 2024,13 May 2024
Wingspan,-50%,"R$ 29,99",91.47%,Sep 2020,27 May 2024,13 May 2024
IRMÃO Grande & Brasileiro 2,-65%,"R$ 6,99",91.39%,Oct 2021,20 May 2024,13 May 2024
Loop Hero,-67%,"R$ 15,50",91.32%,Mar 2021,23 May 2024,13 May 2024
Gato Roboto,-75%,"R$ 6,62",91.17%,May 2019,23 May 2024,16 May 2024
GORN,-50%,"R$ 29,99",91.16%,Jul 2019,23 May 2024,16 May 2024
The Jackbox Party Pack 4,-50%,"R$ 36,99",91.12%,Oct 2017,19 May 2024,10 May 2024
Orcs Must Die! 2,-75%,"R$ 7,24",91.06%,Jul 2012,27 May 2024,15 May 2024
The Jackbox Party Pack 2,-50%,"R$ 36,99",91.04%,Oct 2015,19 May 2024,10 May 2024
HUNTDOWN,-80%,"R$ 11,99",90.95%,May 2021,28 May 2024,14 May 2024
Sins of a Solar Empire®: Rebellion,-70%,"R$ 32,39",90.86%,Jun 2012,20 May 2024,13 May 2024
SEUM: Speedrunners from Hell,-60%,"R$ 17,99",90.84%,Jul 2016,20 May 2024,14 May 2024
Lords of the Realm II,-80%,"R$ 2,09",90.82%,Oct 1996,20 May 2024,7 May 2024
Kiwi Clicker - Juiced Up,-50%,"R$ 8,49",90.77%,Jul 2022,27 May 2024,13 May 2024
Super Amazing Wagon Adventure,-66%,"R$ 3,56",90.72%,Oct 2013,20 May 2024,13 May 2024
Legend of Grimrock,-80%,"R$ 9,39",90.68%,Apr 2012,20 May 2024,13 May 2024
Brigador: Up-Armored Edition,-64%,"R$ 16,55",90.62%,Jun 2016,20 May 2024,13 May 2024
Rogue Legacy,-80%,"R$ 9,39",90.54%,Jun 2013,20 May 2024,13 May 2024
APE OUT,-75%,"R$ 11,74",90.54%,Feb 2019,23 May 2024,16 May 2024
Race The Sun,-75%,"R$ 8,24",90.50%,Dec 2013,20 May 2024,13 May 2024
One Way Heroics,-69%,"R$ 1,85",90.48%,Feb 2014,20 May 2024,13 May 2024
Darkest Dungeon®,-85%,"R$ 11,09",90.42%,Jan 2016,20 May 2024,13 May 2024
Hero of the Kingdom,-85%,"R$ 3,97",90.11%,Dec 2012,20 May 2024,13 May 2024
Spelunky,-75%,"R$ 6,99",89.86%,Aug 2013,20 May 2024,13 May 2024
Siralim Ultimate,-50%,"R$ 29,99",89.85%,Dec 2021,20 May 2024,13 May 2024
A Story About My Uncle,-80%,"R$ 9,39",89.82%,May 2014,28 May 2024,14 May 2024
Black Book,-60%,"R$ 31,99",89.82%,Aug 2021,20 May 2024,6 May 2024
Serious Sam Fusion 2017 (beta),-90%,"R$ 5,99",89.74%,—,23 May 2024,16 May 2024
Thief™ II: The Metal Age,-86%,"R$ 4,05",89.74%,Mar 2000,20 May 2024,10 May 2024
Melody's Escape,-75%,"R$ 8,24",89.73%,May 2016,20 May 2024,13 May 2024
Child of Light,-70%,"R$ 13,49",89.63%,Apr 2014,31 May 2024,17 May 2024
Men of War: Assault Squad 2,-80%,"R$ 17,79",89.59%,May 2014,22 May 2024,15 May 2024
Genital Jousting,-89%,"R$ 2,58",89.49%,Jan 2018,22 May 2024,8 May 2024
Escape Dungeon 2,-50%,"R$ 27,49",89.40%,Jan 2022,20 May 2024,13 May 2024
Road 96 🛣️,-75%,"R$ 24,00",89.36%,Aug 2021,20 May 2024,6 May 2024
Lovers in a Dangerous Spacetime,-50%,"R$ 13,99",89.35%,Sep 2015,20 May 2024,13 May 2024
Just Cause 2,-90%,"R$ 6,49",89.27%,Mar 2010,21 May 2024,8 May 2024
TY the Tasmanian Tiger 2,-50%,"R$ 14,49",89.18%,Dec 2017,20 May 2024,13 May 2024
Touhou Genso Wanderer -Reloaded-,-50%,"R$ 69,99",89.06%,Oct 2018,20 May 2024,13 May 2024
Siralim 3,-50%,"R$ 23,49",89.05%,Oct 2018,20 May 2024,13 May 2024
FlatOut,-80%,"R$ 13,99",89.04%,Jul 2005,,9 May 2024
Dropsy,-90%,"R$ 3,29",88.98%,Sep 2015,23 May 2024,16 May 2024
Lara Croft GO,-80%,"R$ 8,29",88.96%,Dec 2016,20 May 2024,10 May 2024
Heroes of Might & Magic V: Tribes of the East,-75%,"R$ 7,49",88.96%,Oct 2007,31 May 2024,17 May 2024
Rampage Knights,-60%,"R$ 16,79",88.94%,Sep 2015,20 May 2024,13 May 2024
Furry Shades of Gay 2: A Shade Gayer,-50%,"R$ 16,49",88.90%,Dec 2021,30 May 2024,16 May 2024
Pumpkin Jack,-75%,"R$ 22,24",88.87%,Oct 2020,22 May 2024,15 May 2024
